dist_x,dist_y,playerVel,enemyVel
-18.896393,-200.0,0.0,0.55752563
0.15324402,-200.0,0.0,0.6584625
0.15292358,-200.0,0.0,0.6580963
1.3788452,-200.0,-1.9211121,-1.5013733
13.635193,-200.0,-1.9648438,-1.5512848
25.924225,-200.0,-2.0785217,-1.684906
35.066437,-167.62776,-2.0012817,-1.8661804
3.1434326,-211.61566,2.1140747,-1.6511841
-16.506073,-221.60396,1.8259888,1.247467
-30.278473,-187.19423,2.548645,2.4891357
-35.283188,-171.77634,2.0470276,1.8891296
-13.506851,-231.79016,-1.8871002,1.2571869
18.281708,-248.01883,-1.7858582,-1.0768433
39.539185,-248.01883,-1.9470825,-1.2203369
61.126373,-248.01883,-2.006134,-1.2573547
82.45212,-213.94495,-2.015808,-1.4100342
95.2153,-153.82367,-1.6978455,-1.3638306
101.27231,-149.79509,-1.9182129,-1.6484375
115.30316,-209.81914,-1.9907837,-1.3233032
138.92859,-237.83011,-1.8377075,-1.0151367
162.75519,-189.84035,-1.9949951,-1.2704468
181.96667,-129.82925,-1.9630127,-1.3829346
94.02234,-119.36296,1.9932861,-2.0771484
-0.91674805,-179.87708,2.4832764,2.5197144
-14.300293,-217.38727,1.946228,1.406311
-27.829346,-181.35028,2.0272217,1.7791748
-25.191711,-133.37029,2.0200806,2.387085
-13.993835,-133.37029,2.009735,2.3998108
-3.60672,-151.47346,1.8276367,1.8322754
-8.709991,-183.7219,2.0092468,1.7516785
-11.710632,-143.5544,2.043213,2.2950745
-1.7748108,-123.66188,1.8718567,2.3300934
-0.90019226,-177.6484,2.0240936,1.8356018
8.95372,-219.66823,-1.9889526,-1.4424133
25.297241,-219.66823,-1.9616699,-1.4025269
41.94641,-219.66823,-2.007965,-1.4381714
59.141266,-219.66823,-1.9839783,-1.3866272
77.08215,-219.66823,-1.9992676,-1.3710632
95.0759,-219.66823,-1.9672852,-1.2996521
113.36902,-185.69795,-2.0263062,-1.4962158
123.14151,-125.49959,-2.1245728,-1.9878235
127.58673,-117.53955,-1.9733276,-1.7921753
132.54834,-117.53955,-2.0061035,-1.8012695
137.92303,-107.6301,-2.2407837,-2.171936
143.19305,-107.6301,-1.7730713,-1.4692383
140.67102,-107.6301,2.7633057,-3.0110474
16.513428,-139.64613,2.0031738,-2.2767334
-4.409607,-199.65326,2.0118408,1.6170654
-22.222717,-251.7832,1.9755859,1.2410889
-44.267212,-242.03181,2.0794678,1.3822021
-60.040283,-182.10767,1.9703369,1.6254883
-60.842712,-122.03421,1.9541626,2.2455444
-41.10199,-106.00421,1.9671631,2.7177124
-20.197968,-137.89615,2.003418,2.2965393
-23.041718,-197.93086,2.0282593,1.6403809
-40.450043,-236.09941,2.0691528,1.4085388
-60.743576,-236.09941,2.0391388,1.3516846
-81.48692,-220.09213,1.6804047,1.0372314
-95.57627,-160.06352,1.8492279,1.5109711
-97.36865,-127.391815,1.9999199,1.9806671
-98.92244,-147.5292,1.7334256,1.433548
-48.051716,-207.45065,-2.0046158,1.505806
10.733341,-233.4195,-1.983963,-1.351757
29.697678,-233.4195,-2.0899353,-1.457222
48.899994,-233.4195,-1.9917297,-1.3314819
68.47624,-233.4195,-2.0462646,-1.361908
85.606995,-183.22891,-2.154663,-1.7748871
90.693085,-129.31891,-1.4970398,-1.2879333
90.1792,-129.31891,-1.9786072,-1.9811401
89.11926,-117.58687,-1.9824219,-2.1202087
78.86832,-105.540146,-2.0107422,-2.4225464
68.95245,-139.58311,-1.994751,-2.0349731
75.673035,-175.59729,-1.9973755,-1.6643066
86.07764,-175.59729,-1.7745361,-1.3522339
97.44824,-167.73474,-1.9490967,-1.5772705
101.18207,-119.73601,-2.0344849,-2.0795288
99.30994,-119.73601,-1.9810791,-2.0097046
45.124817,-169.36201,1.9714355,-1.7799683
-8.840088,-229.45343,2.044983,1.4432373
-31.572815,-287.4135,2.0582886,1.1578369
-58.087402,-277.36664,2.0558472,1.1786499
-80.507996,-217.40025,2.0074463,1.3856201
-93.86273,-157.35582,2.0145874,1.7579956
-93.0105,-97.32689,2.0335693,2.4105225
